Source File,Part,Corrected Role,Required Changes,Ergonomic/Durability Flags,Priority,Notes
TC-001_Main_Comb.step,Main Comb,Male hub (passive tang only),"Remove active lock hardware; add passive tang + detent notch + shoulder + magnet pockets; reinforce tang root ≥2mm fillet","CRITICAL: tooth root fillets ≥0.5mm; tooth taper 0.8→0.5mm; crown peak radius ≥1.5mm; crown valley fillet ≥1.0mm; spine thickness ≥4mm at peaks",High,No moving lock components; highest-priority ergonomic fixes
TC-002_Narrow_Comb.step,Narrow Comb,Female receiver,"Delete male tang; add shared receiver socket + ball + spring + button + detent capture + magnet pockets","Tooth root fillets ≥0.5mm; tooth taper; transition zone ≥10mm from receiver to spine with ≥2mm fillets",High,Docks inverted onto TC-001; accessory-side lock
TC-003_Wide_Comb.step,Wide Comb,Female receiver,"Delete male tang; add shared receiver socket + ball + spring + button + detent capture + magnet pockets","Tooth root fillets ≥0.75mm; tooth taper; transition zone ≥10mm; inverted docking per video",High,Wide teeth with zigzag pattern on bottom when docked
TH-001_Double_Handle.step,Double Handle,Female receiver,"Retain fork body; integrate shared receiver core + lock stack","CRITICAL: fork junction fillet ≥3.0mm on all faces; junction ≥4.0mm thick; grip knurling 30-60mm zone; diamond pattern 0.3mm pitch",Medium,Long lever arm — verify anti-wobble at prototype
TH-002_Flat_Handle.step,Flat Handle,Female receiver,"Retain flat body; integrate shared receiver core + lock stack","CRITICAL: increase grip zone to ≥3.5mm thick (currently 2.54mm); bead-blast finish Ra 1.6-3.2μm; review glue-contact surface treatment; edge breaks ≥0.15mm",Medium,Good candidate for secondary magnets; PTFE coating for glue resistance
TH-003_Round_Handle.step,Round Handle,Female receiver,"Retain pointed tail body; integrate shared receiver core + lock stack","CRITICAL: increase diameter to ≥4.5mm (currently 3.11mm); circumferential knurling 40-80mm zone; conical transition ≥15mm from receiver; edge breaks ≥0.15mm",Medium,Long lever arm — needs anti-wobble check; thinnest part in system
TK-TANG_Universal_Tang.step,Legacy master tang,Passive tang baseline,"Freeze as passive male tang; add magnet pockets; remove any multi-part male logic","Verify notch profile matches half-round R1.50mm; verify tip chamfer 0.50mm×45°",High,Rename role in all docs/scripts
TK-RECV_Universal_Receiver.step,Receiver baseline,Shared female receiver core,"Update to include button/ball/spring bores + magnet pockets; set outer to 8×16mm (NOT 20mm)","Verify ball window at 35mm from Datum C; verify spring pocket 3.20×8.00mm; verify button bore 4.00mm",High,Becomes common internal cartridge for all 5
TAYLKOMB_Lock_Mechanism*.scad,Lock concept scripts,Accessory-side lock,"Move all active lock logic to accessory side; main comb keeps notch only; correct receiver height to 16mm","Add section view and exploded view modes; add double-ended comb demo",High,Magnet support optional; receiver BODY_H must be 16mm not 20mm
Lock STL.stl,Obsolete placeholder,OBSOLETE,"Delete — replaced by corrected mechanism scripts","N/A",N/A,Do not include in any handoff
